iter	Passed	Remaining
0	1	127
1	2	119
2	3	117
3	4	114
4	5	111
5	7	109
6	8	112
7	9	110
8	10	107
9	11	106
10	12	104
11	14	103
12	15	101
13	16	100
14	17	99
15	18	97
16	19	96
17	21	97
18	22	96
19	23	95
20	24	93
21	26	92
22	27	91
23	28	89
24	29	87
25	30	86
26	31	84
27	32	84
28	34	83
29	35	82
30	36	81
31	37	80
32	39	79
33	40	78
34	41	77
35	43	76
36	44	75
37	45	74
38	46	73
39	48	72
40	49	71
41	50	69
42	51	68
43	52	67
44	54	66
45	55	64
46	56	63
47	57	62
48	59	61
49	60	60
50	61	59
51	62	57
52	64	56
53	65	55
54	66	54
55	67	52
56	68	51
57	69	50
58	70	49
59	71	47
60	72	46
61	74	45
62	75	44
63	76	42
64	77	41
65	79	40
66	80	39
67	81	38
68	82	37
69	83	35
70	84	34
71	85	33
72	86	32
73	87	30
74	89	29
75	90	28
76	91	27
77	92	26
78	94	25
79	95	23
80	96	22
81	97	21
82	98	20
83	100	19
84	101	17
85	102	16
86	103	15
87	104	14
88	105	13
89	106	11
90	107	10
91	108	9
92	110	8
93	111	7
94	112	5
95	113	4
96	114	3
97	115	2
98	116	1
99	117	0
