iter	Passed	Remaining
0	1	1022
1	2	1018
2	2	970
3	3	963
4	4	932
5	5	901
6	6	895
7	7	892
8	7	877
9	8	890
10	9	881
11	10	877
12	11	872
13	12	865
14	13	859
15	13	853
16	14	846
17	15	841
18	16	862
19	17	876
20	18	872
21	19	867
22	20	862
23	21	857
24	21	850
25	22	846
26	23	842
27	24	839
28	24	832
29	25	829
30	26	830
31	27	828
32	28	825
33	28	820
34	29	815
35	30	811
36	31	819
37	32	820
38	33	835
39	34	836
40	35	837
41	36	837
42	37	836
43	38	832
44	39	828
45	39	825
46	40	822
47	41	820
48	42	817
49	42	814
50	43	811
51	44	810
52	45	808
53	46	816
54	47	817
55	48	818
56	49	815
57	50	812
58	50	809
59	51	807
60	52	804
61	53	802
62	53	802
63	54	799
64	55	797
65	56	795
66	57	793
67	57	794
68	58	792
69	59	790
70	60	788
71	61	794
72	62	795
73	63	793
74	64	791
75	64	788
76	65	784
77	65	779
78	66	775
79	66	770
80	67	766
81	68	761
82	68	754
83	68	751
84	69	749
85	70	748
86	71	746
87	71	743
88	72	741
89	73	738
90	73	736
91	74	733
92	74	730
93	75	730
94	76	730
95	77	729
96	78	727
97	78	724
98	79	721
99	79	719
100	80	717
101	81	714
102	81	711
103	82	707
104	82	705
105	83	702
106	83	700
107	84	697
108	84	694
109	85	691
110	85	688
111	86	685
112	86	682
113	87	679
114	87	676
115	88	673
116	88	670
117	89	667
118	89	665
119	90	663
120	91	662
121	91	660
122	92	659
123	93	658
124	93	657
125	94	655
126	94	652
127	95	650
128	95	648
129	96	645
130	97	644
131	97	642
132	98	641
133	98	639
134	99	637
135	100	636
136	100	634
137	101	633
138	101	631
139	102	630
140	103	629
141	103	626
142	104	626
143	105	625
144	105	624
145	106	623
146	107	623
147	108	622
148	108	621
149	109	620
150	110	619
151	110	617
152	111	616
153	111	614
154	112	612
155	113	611
156	113	609
157	114	608
158	114	606
159	115	605
160	115	603
161	116	602
162	117	600
163	117	599
164	118	598
165	118	597
166	119	595
167	120	594
168	120	593
169	121	594
170	122	594
171	123	593
172	124	592
173	124	591
174	125	590
175	125	589
176	126	587
177	126	586
178	127	585
179	128	584
180	128	583
181	129	581
182	129	580
183	130	578
184	131	577
185	131	576
186	132	575
187	133	574
188	133	573
189	134	572
190	135	572
191	136	573
192	137	574
193	138	573
194	138	572
195	139	571
196	139	570
197	140	569
198	141	568
199	141	566
200	142	565
201	142	564
202	143	563
203	144	562
204	144	561
205	145	560
206	145	558
207	146	557
208	147	556
209	147	555
210	148	554
211	148	553
212	149	552
213	150	551
214	151	551
215	151	551
216	152	550
217	153	548
218	153	548
219	154	547
220	154	546
221	155	545
222	156	543
223	156	542
224	157	541
225	157	540
226	158	539
227	158	538
228	159	537
